✅ 101KB        town-square
✅ 91KB         dungeon-boss
✅ 75KB         sky-island
✅ 96KB         pirate-cove
✅ 78KB         magic-academy
✅ 69KB         blacksmith-forge
✅ 72KB         cozy-tavern
✅ 86KB         dragon-lair
✅ 90KB         harvest-farm
✅ 82KB         spaceport-hangar
✅ 72KB         cyber-market
✅ 80KB         coral-ruins
✅ 67KB         haunted-crypt
✅ 92KB         arena-colosseum
✅ 77KB         alchemy-lab
✅ 72KB         guild-hall
✅ 93KB         snowy-fortress
✅ 112KB        desert-oasis
✅ 106KB        pixel-forest
✅ 127KB        overworld-map
=== done: 20/20 ok ===
